,filename,compStages,auxStages,Away %,Home %,Sleep %,Awake %,TOU %,Custom Schedule %,Smart Away %,Smart Home %,DR %,Hold %,TOU Event %,Custom Event %,Sq. Ft.,Floors,Age,Style,State,City
10,00334d705de2c34e93203e1a53570efd2ade83e8.csv,0,1,0,0.689623508,0.284511785,0,0,0.025864708,0.038739669,0,0.000994796,0.536510943,0,0.423754591,2500,3,50,other,NY,Cornwall
21,00d40735de0ee28b5025ad20459b07b6dcd8af7d.csv,0,2,0,0.606961615,0.364535638,0,0,0.028502747,0.002279838,0,0,0.097384386,0,0.900335775,2000,3,50,detached,NY,Rochester
25,00f7aefd3cdb14e6153dc8f22bc3e5cb7c33e13f.csv,0,1,0.520525546,0.179122422,0,0.097549246,0,0.202802785,0,0,0,0.048957371,0,0.951042629,6000,0,0,0,NY,Syracuse
27,00ffe3462e2eb04c17c1799011eb0871c2ba2bce.csv,0,1,0.300017218,0.346973523,0.324064509,0,0,0.028944751,0.019886364,0.102416208,0,0.181521656,0,0.696175773,1500,2,15,semiDetached,NY,New York
30,010d0b70409e04d97ffb435f4e74ea60e5da2fe6.csv,0,1,0,0.683312347,0.238162012,0,0,0.078525641,0,0,0,0.541819292,0,0.458180708,1500,3,90,townhouse,NY,Buffalo
42,0182e39cd0d09f7cc4b05974fc94f258329c6aef.csv,0,1,0,0.60314447,0.39257204,0,0,0.004283489,0.000129803,0,0,0.936883437,0,0.06298676,2501,3,9,Detached,NY,Farmingdale
45,01973a7aea32fe44f10b58d2fbf6711de8a4a5df.csv,0,1,0,0.719530835,0.212171053,0,0,0.068298113,0.002724615,0,0,0.897544524,0,0.099730861,2500,3,90,multiPlex,NY,Yonkers
51,01c73f07fd100601027d5ae0f5165bd29e1bca25.csv,0,2,0.066928757,0.258819253,0.650233395,0,0,0.024018595,0.002793082,0.000373049,0,0.076417585,0,0.920416284,10000,1,50,other,NY,Hauppauge
60,01f18a3973b4177c326f0ff164193181ab69910c.csv,0,1,0.232678521,0.313859185,0.424486363,0,0,0.02897593,0.029456526,0.069946734,0,0.002683327,0,0.897913413,1500,2,20,other,NY,Dolgeville
70,023b93eaaa49976b55a67164b69f389a0510b8fa.csv,0,1,0,0.683807775,0.281642179,0,0,0.034550046,0,0,0,0.575499311,0,0.424500689,2000,3,60,rowHouse,NY,Fresh Meadows
84,027d32d797d944a98c9688ccab7588cf89358e83.csv,0,1,0,0.575339591,0.395442231,0,0,0.029218178,0.015376984,0,0,0.233459249,0,0.751163767,1000,2,7,,NY,Maspeth
86,0286c06d6300a0cdd836973d731d736c1000e68e.csv,0,2,0,0.2170767,0.760492041,0,0,0.022431259,0,0,0,0.977568741,0,0.022431259,2000,2,37,other,NY,Rochester
89,02997394a3506769e047fd411b35c4044bcec82d.csv,0,1,0,0.513651762,0.472831978,0,0,0.01351626,0,0,0,0.300982385,0,0.699017615,2000,1,45,Other,NY,Rhinebeck
93,02ad349f5764c5497449a22f986df7ace8bcd640.csv,0,1,0,0.717611723,0.257728803,0,0,0.024659474,0,0,0,0.55418771,0,0.44581229,1900,5,0,townhouse,NY,New York
100,02d5e9fa113a5b54f3f29e5c1ab28ca33365e509.csv,0,1,0.141404576,0.526830808,0.301241582,0,0,0.030523033,0.160937022,0.027672559,0,0.046640649,0,0.76474977,2000,3,80,other,NY,Rochester
101,02d8b81e4bb197203d55891732fa5561117b6eb4.csv,0,1,0,0.55808341,0.410962302,0,0,0.030954289,0,0,0,0.370898199,0,0.629101801,2000,2,15,townhouse,NY,Wappingers Falls
102,02d9755d9c50372b3e24cae4f382919532c0c5a9.csv,0,1,0,0.260173514,0.347407018,0,0,0.392419468,0.01936469,0,0,0.021183473,0,0.959451836,2500,2,25,detached,NY,Monroe
103,02dc8786395df1520a7872a38c4fd1f9223cfbff.csv,0,1,0.974556168,0,0,0,0,0.025443832,0,0,0,0.972423095,0,0.027576905,2000,2,25,detached,NY,Riverhead
105,02dd64cc648398aaf99b34c69ab99cde36f0248a.csv,0,1,0.406078297,0.24208257,0.323689332,0,0,0.028149802,0.063234509,0.144984356,0,0.02045177,0,0.771329365,3000,2,50,detached,NY,Massapequa
